nct_id,title,phase,status,study_type,enrollment,lead_sponsor,sponsor_class,conditions,interventions,has_results,start_date,primary_completion,matched_term,matched_generic,attributed_term,ambiguous
NCT03018028,"Dose-response, Safety and Efficacy of Oral Semaglutide Versus Placebo and Versus Liraglutide, All as Monotherapy in Japanese Subjects With Type 2 Diabetes",PHASE3,COMPLETED,INTERVENTIONAL,243,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",Semaglutide|Placebo|Liraglutide,yes,2017-01-10,2018-01-09,liraglutide;semaglutide,liraglutide,liraglutide,yes
NCT06120556,Efficacy of Glucagon-like Peptide-1 Receptor Agonists According to Type 2 Diabetes Subtypes,NA,COMPLETED,OBSERVATIONAL,130,Azienda Ospedaliero-Universitaria Consorziale Policlinico di Bari,OTHER,"Diabetes Mellitus, Type 2",GLP-1 receptor agonist,no,2023-06-10,2023-10-31,dulaglutide;liraglutide;semaglutide,dulaglutide,dulaglutide,yes
NCT05872022,A Study to Evaluate Safety of Exposure to Wegovy During Pregnancy,NA,ENROLLING_BY_INVITATION,OBSERVATIONAL,728,Novo Nordisk A/S,INDUSTRY,Pregnancy|Obesity|Overweight,No Intervention,no,2023-07-05,2032-10-31,semaglutide,semaglutide,semaglutide,no
NCT05035095,Research Study to Investigate How Well Semaglutide Tablets Taken Once Daily Work in People Who Are Overweight or Living With Obesity (OASIS 1),PHASE3,COMPLETED,INTERVENTIONAL,667,Novo Nordisk A/S,INDUSTRY,Obesity|Overweight,Oral semaglutide|Placebo (semaglutide),yes,2021-09-13,2023-03-24,semaglutide,semaglutide,semaglutide,no
NCT05435677,A Research Study to Look at How Insulin Icodec and Semaglutide Work in the Body of People From China With Type 2 Diabetes When Given Alone or Together,PHASE1,COMPLETED,INTERVENTIONAL,20,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",IcoSema|insulin icodec|semaglutide,no,2022-06-22,2023-04-25,semaglutide,semaglutide,semaglutide,no
NCT06299098,"A Study to Test if Trevogrumab or Trevogrumab With Garetosmab When Taken With Semaglutide is Safe and How Well They Work in Adult Patients With Obesity for Weight Loss, Fat Loss, and Lean Mass Preservation",PHASE2,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,1005,Regeneron Pharmaceuticals,INDUSTRY,Obesity,Trevogrumab-Part A|Trevogrumab-Part B and Part C|Garetosmab|Semaglutide|Matching Placebo-Part A|Matching Placebo-Trevogrumab|Matching Placebo-Garetosmab,no,2024-03-13,2026-06-16,semaglutide,semaglutide,semaglutide,no
NCT07633639,GLP-1 Therapy After Bariatric Surgery in Chinese Patients With Obesity,NA,RECRUITING,INTERVENTIONAL,200,China-Japan Friendship Hospital,OTHER,Obesity,LSG-Semaglutide group|LSG-Mazdutide group|LSG-Tirzepatide group|LSG group,no,2026-05-01,2028-05-01,mazdutide;tirzepatide;semaglutide,mazdutide,mazdutide,yes
NCT04892199,Does GLP-1RA Prevent Deterioration of Metabolic State in Prediabetic and Diabetic Patients Treated With Antipsychotic Medication?,PHASE4,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,104,"Anders Fink-Jensen, MD, DMSci",OTHER,Metabolic Disturbance|Schizophrenia|Type 2 Diabetes|Clozapine|GLP-1|Olanzapine,"Semaglutide, 1.34 mg/mL|Semaglutide-placebo",no,2021-09-01,2026-03-01,semaglutide,semaglutide,semaglutide,no
NCT06173778,Semaglutide for Post-Smoking Cessation Weight Management,PHASE2,RECRUITING,INTERVENTIONAL,197,"The University of Texas Health Science Center, Houston",OTHER,Obesity|Overweight|Cigarette Smoking,"semaglutide 2.4mg|Placebo|Nicotine Replacement Therapy (NRT, nicotine patch)|Brief Smoking Cessation Counseling",no,2024-04-23,2026-07-01,semaglutide,semaglutide,semaglutide,no
NCT05419726,Brown Adipose Tissue Activity in Response to Semaglutide Administered to Obese Subjects.,NA,RECRUITING,OBSERVATIONAL,20,"University of California, Los Angeles",OTHER,Obesity,Semaglutide Injectable Product (not provided by the study),no,2023-02-01,2026-01-01,semaglutide,semaglutide,semaglutide,no
NCT06691243,Evaluation Of Semaglutide in Adults With Cocaine Use Disorder With and Without HIV,PHASE2,RECRUITING,INTERVENTIONAL,40,"University of Maryland, Baltimore",OTHER,Cocaine Use Disorder|HIV,Semaglutide|Placebo,no,2025-08-07,2026-07,semaglutide,semaglutide,semaglutide,no
NCT07202247,"Metabolic Interventions (Time-Restricted Eating, GLP1 Receptor Agonist, and Heart Healthy Diet) to Improve Cardiometabolic Health in Prostate Cancer Patients During Androgen Deprivation Therapy, IMPACT-ADT Trial",PHASE2,RECRUITING,INTERVENTIONAL,60,City of Hope Medical Center,OTHER,Prostate Carcinoma|Recurrent Prostate Carcinoma,Antiandrogen Therapy|Behavioral Intervention|Biospecimen Collection|Cardiac Computerized Tomographic Angiography|Computed Tomography|Electronic Health Record Review|Internet-Based Intervention|Lifestyle Counseling|Medical Device Usage and Evaluation|Nutritional Intervention|Nutritional Intervention|Questionnaire Administration|Radiation Therapy|Referral|Semaglutide|Short-Term Fasting|Tirzepatide,no,2025-11-05,2028-04-09,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT07724340,"A Study to Assess the Efficacy, Safety and Tolerability of AT673 Co-administered With Semaglutide in Adult Participants With Type 2 Diabetes (T2D) and Overweight or Obesity",PHASE2,RECRUITING,INTERVENTIONAL,150,Antag Therapeutics,INDUSTRY,Adults With Overweight/Obesity and Type 2 Diabetes,AT673 low dose|AT673 high dose|Placebo,no,2026-06-19,2027-02,semaglutide,semaglutide,semaglutide,no
NCT06390501,The Effect of Weekly Semaglutide Treatment on Energy Expenditure,NA,COMPLETED,INTERVENTIONAL,60,"Shenzhen Institutes of Advanced Technology ,Chinese Academy of Sciences",OTHER,Obesity; Drug,Semaglutide|Placebo,no,2024-04-01,2025-08-15,semaglutide,semaglutide,semaglutide,no
NCT07092618,Effectiveness of Alternative Therapies in Maintaining Weight Loss Achieved by GLP-1 Medications Post-Cessation,PHASE2|PHASE3,RECRUITING,INTERVENTIONAL,150,AgelessRx,INDUSTRY,Longevity|GLP-1|Geroscience|Aging,Metformin|Rapamycin|Naltrexone|Vitamin C,no,2024-12-17,2025-08,semaglutide,semaglutide,semaglutide,no
NCT06980623,Comparative Effectiveness of Tirzepatide vs Semaglutide in Participants With Type 2 Diabetes and Heart Failure With Preserved Ejection Fraction,NA,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,26000,Brigham and Women's Hospital,OTHER,Type 2 Diabetes|Heart Failure,Tirzepatide|Semaglutide,no,2025-01-01,2025-11-30,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT07165158,The Effect of Semaglutide on Bone Health,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,150,The First Affiliated Hospital of Xiamen University,OTHER,Osteoporosis|Osteoporosis Fracture|T2DM,semaglutide combined with metformin,no,2025-09-15,2026-12-31,semaglutide,semaglutide,semaglutide,no
NCT05514535,"A Research Study to Look Into How Semaglutide, Together With a Lower Dose of Insulin Glargine, Compares to a Higher Dose of Insulin Glargine Alone in People With Type 2 Diabetes (SUSTAIN OPTIMIZE)",PHASE3,COMPLETED,INTERVENTIONAL,573,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2|Obesity",Semaglutide|Insuline glargine U100 (reduced)|Insuline glargine U100 (titrated),yes,2022-08-29,2025-03-05,semaglutide,semaglutide,semaglutide,no
NCT07732218,Efficacy of Once Weekly Semaglutide in Patients With Type 2 Diabetes: a Non Randomized Clinical Trial,PHASE4,COMPLETED,INTERVENTIONAL,95,Rehman Medical Institute - RMI,OTHER,Type 2 Diabetes,Semaglutide (Ozempic®),no,2022-07-04,2023-03-30,semaglutide,semaglutide,semaglutide,no
NCT06131372,"A Research Study to See if Kidney Damage in People With Chronic Kidney Disease and Type 2 Diabetes Living With Overweight or Obesity Can be Reduced by CagriSema Compared to Semaglutide, Cagrilintide and Placebo",PHASE2,COMPLETED,INTERVENTIONAL,626,Novo Nordisk A/S,INDUSTRY,Chronic Kidney Disease|Type 2 Diabetes|Obesity,Cagrilintide|Semaglutide|Placebo,no,2024-04-01,2025-09-24,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT04885634,Semaglutide for the Reduction of Arrhythmia Burden in Overweight AF Patients,PHASE3,WITHDRAWN,INTERVENTIONAL,0,Axel Brandes,OTHER,Atrial Fibrillation|Overweight and Obesity,Semaglutide Injectable Product|Placebo,no,2022-10,2024-01,semaglutide,semaglutide,semaglutide,no
NCT06287307,Semaglutide 2.4mg for Low Responders After Bariatric Surgery,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,152,Zuyderland Medisch Centrum,OTHER,"Obesity|Obesity, Morbid|Weight Gain",Placebo|Semaglutide 2.4 MG/0.75 ML Subcutaneous Solution [WEGOVY],no,2024-05,2026-02,semaglutide,semaglutide,semaglutide,no
NCT07254572,Anti-atherosclerotic Efficacy of Selected Antidiabetic Drugs in Patients With Coronary Artery Disease and Pre-diabetes,PHASE4,RECRUITING,INTERVENTIONAL,300,"National Institute of Cardiology, Warsaw, Poland",OTHER,Coronary Artery Disease|PreDiabetes,Semaglutide 14 MG [Rybelsus]|Dapagliflozin (Forxiga)|Metformin|Optimal Medical Therapy (OMT) And Lifestyle Intervention,no,2025-07-10,2029-08-01,semaglutide,semaglutide,semaglutide,no
NCT06983171,Semaglutide Effectiveness in Patients With Metabolic Dysfunction-Associated Fatty Liver Disease in the Real World Practice,NA,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,70,Center of target therapy,OTHER,MAFLD,,no,2025-04-02,2028-09-12,semaglutide,semaglutide,semaglutide,no
NCT01923181,"Multiple Dose Trial Examining Dose Range, Escalation and Efficacy of Oral Semaglutide in Subjects With Type 2 Diabetes",PHASE2,COMPLETED,INTERVENTIONAL,632,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|semaglutide|oral placebo,yes,2013-12-02,2014-12-11,semaglutide,semaglutide,semaglutide,no
NCT06243536,The Effect of Semaglutide on Disordered Eating Behaviour in Type 2 Diabetic Patients,PHASE4,UNKNOWN,INTERVENTIONAL,60,University Hospital Sestre Milosrdnice,OTHER,Type 2 Diabetes|Overweight|Disordered Eating Behaviors,Semaglutide|standard of care,no,2024-02-01,2024-12-31,semaglutide,semaglutide,semaglutide,no
NCT06788626,Glucagon-like Peptide 1 Receptor Agonist in Acute Large Vessel Occlusion Stroke After Endovascular Treatment,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,390,Wei Hu,OTHER,Acute Ischemic Stroke|Large Vessel Occlusion|Neuroprotective Drugs|Endovascular Treatment,Semaglutide 0.5 mg|Standard medical treatment,no,2025-02,2028-02,semaglutide,semaglutide,semaglutide,no
NCT06301191,The Effect of Semaglutide on Cardiovascular Markers and Liver Function,NA,UNKNOWN,OBSERVATIONAL,50,Attikon Hospital,OTHER,Diabetes Type 2,"Semaglutide, 1.0 mg/mL|Dipeptidyl Peptidase 4 inhibitor",no,2022-03-01,2023-03-01,semaglutide,semaglutide,semaglutide,no
NCT06659718,Emulation of the SOUL Diabetes Trial in Healthcare Claims,NA,COMPLETED,OBSERVATIONAL,43650,Brigham and Women's Hospital,OTHER,"Diabetes Mellitus, Type 2",Oral semaglutide|Sitagliptin,no,2024-10-24,2025-02-13,semaglutide,semaglutide,semaglutide,no
NCT06478550,A Research Study to Understand How People With Type 2 Diabetes Take Ozempic® and if the Ozempic®App Helps Them Stay on This Treatment,NA,COMPLETED,OBSERVATIONAL,304,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Semaglutide,no,2024-06-26,2025-04-23,semaglutide,semaglutide,semaglutide,no
NCT06706284,Glycemic and Weight Loss Effects of GLP-1R Agonist Therapy in Subjects With Spinal Cord Injury and Type 2 Diabetes,PHASE4,RECRUITING,INTERVENTIONAL,50,Marzieh Salehi,OTHER,Spinal Cord Injuries|Type 2 Diabetes,Semaglutide Injectable Product|Placebo,no,2025-04-11,2028-09-01,semaglutide,semaglutide,semaglutide,no
NCT02212067,A Trial Investigating the Effects of Semaglutide on ß-cell Function in Subjects With Type 2 Diabetes,PHASE1,COMPLETED,INTERVENTIONAL,87,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|placebo,no,2014-08-11,2015-05-11,semaglutide,semaglutide,semaglutide,no
NCT04187300,A Research Study Looking at the Comparability (Bioequivalence) of Two Forms of Semaglutide in Two Different Pen-injectors in People With Overweight or Obesity,PHASE1,COMPLETED,INTERVENTIONAL,68,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity,Semaglutide,no,2019-12-16,2020-09-23,semaglutide,semaglutide,semaglutide,no
NCT06762314,Efficacy and Safety of Empagliflozin or Semaglutide in Overweight/Obese Patients With Type 1 Diabetes,PHASE2,COMPLETED,INTERVENTIONAL,114,Mostafa Bahaa,OTHER,Diabetes,Insulin|Semaglutide|Empagliflozin,no,2025-01-20,2026-01-20,semaglutide,semaglutide,semaglutide,no
NCT06642584,A Research Study Looking at New Protein-based Tablets in Healthy Men - Oral Formulation IV,PHASE1,COMPLETED,INTERVENTIONAL,90,Novo Nordisk A/S,INDUSTRY,Healthy Volunteers Type 2 Diabetes,Semaglutide B|Semaglutide J|Semaglutide L|Semaglutide M|Semaglutide N,no,2024-10-15,2025-07-10,semaglutide,semaglutide,semaglutide,no
NCT04702516,The Effect of Semaglutide on Bone Turnover in Patients With Increased Risk of Bone Fracture,PHASE1|PHASE2,UNKNOWN,INTERVENTIONAL,64,Morten Frost,OTHER,Osteopenia,Ozempic|Placebo,no,2021-03-24,2022-08-31,semaglutide,semaglutide,semaglutide,no
NCT05537233,ADJUnct Semaglutide Treatment in Type 1 Diabetes,PHASE2,COMPLETED,INTERVENTIONAL,115,Viral N. Shah,OTHER,Type 1 Diabetes|Obesity,Semaglutide|Placebo,yes,2023-04-11,2024-08-06,semaglutide,semaglutide,semaglutide,no
NCT07511543,Glucagon-like Peptide-1 Receptor Agonists for Endovascular Stroke Thrombectomy,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,826,Population Health Research Institute,OTHER,Ischemic Stroke,Semaglutide,no,2026-09-30,2031-09-30,semaglutide,semaglutide,semaglutide,no
NCT06149260,Subcutaneous Semaglutide in Systemic Scleroderma,PHASE1,UNKNOWN,INTERVENTIONAL,10,Second Xiangya Hospital of Central South University,OTHER,"Scleroderma, Systemic|Fibrosis|Semaglutide",Semaglutide Pen Injector,no,2024-02-29,2024-08-29,semaglutide,semaglutide,semaglutide,no
NCT02054897,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo in Drug-naïve Subjects With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,388,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|placebo,yes,2014-02-03,2015-05-08,semaglutide,semaglutide,semaglutide,no
NCT06761703,A Study to Determine the Feasibility of Online Recruitment of People Using an Anti-Obesity Medication for Weight Loss,NA,COMPLETED,OBSERVATIONAL,200,Amgen,INDUSTRY,Obesity,TAP® Micro Select Device (Touch Activated Phlebotomy),no,2024-11-14,2025-01-06,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT06821919,Impact of Antiglycemic & Immunosuppressive Therapies on NETosis in Diabetes & Kidney Disease (NETs - Neutrophil Traps),NA,RECRUITING,OBSERVATIONAL,70,Western Galilee Hospital-Nahariya,OTHER_GOV,Diabetes Mellitus|Kidney Disease,,no,2024-05-13,2030-12-30,semaglutide,semaglutide,semaglutide,no
NCT07036172,Efficacy and Safety of Semaglutide Injection Vs WEGOVY® in Chinese Obese Patients,PHASE3,RECRUITING,INTERVENTIONAL,460,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",INDUSTRY,Obesity Control,HDM1702|Wegovy ®,no,2025-01-03,2026-04,semaglutide,semaglutide,semaglutide,no
NCT07172867,"A Ph2 Study to Evaluate the Safety, Efficacy and Tolerability of HT-6184 and Semaglutide in Obese Participants With T2DM",PHASE2,WITHDRAWN,INTERVENTIONAL,0,"Halia Therapeutics, Inc.",INDUSTRY,"Diabetes Mellitus, Type 2|Obesity",HT-6184|HT-6184 Matching Placebo|Semaglutide 1 mg,no,2026-01-06,2026-01-23,semaglutide,semaglutide,semaglutide,no
NCT04873245,Lifestyle Counseling and Medication for Adolescent Weight Management,PHASE2,COMPLETED,INTERVENTIONAL,120,University of Minnesota,OTHER,"Obesity, Childhood",Intensive Behavioral Program|Semaglutide and Behavioral Program,no,2022-03-15,2026-06-29,semaglutide,semaglutide,semaglutide,no
NCT07483801,DECODE - Haemodynamic Effects Of Semaglutide and Tirzepatide - a Series of Pilot Studies,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,112,Cambridge University Hospitals NHS Foundation Trust,OTHER,Cardiovascular Diseases,semaglutide|Tirzepatide,no,2026-03,2027-04,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT04862923,"A Research Study Looking at How Oral Semaglutide Works in People With Type 2 Diabetes in the United Kingdom, as Part of Local Clinical Practice",NA,COMPLETED,OBSERVATIONAL,336,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Oral semaglutide,no,2021-05-12,2023-08-31,semaglutide,semaglutide,semaglutide,no
NCT06903923,Bone Metabolism in 12-21 Year Olds Undergoing Glucagon Like Peptide (GLP)-1 Receptor Agonist Therapy,PHASE2,RECRUITING,INTERVENTIONAL,120,University of Virginia,OTHER,Obesity in Children|Bone Strength|GLP - 1|Lifestyle Modification|Bone Density|Obesity,GLP-1 receptor agonist|Lifestyle intervention,no,2025-07-31,2030-02-28,liraglutide;semaglutide,liraglutide,liraglutide,yes
NCT05766358,Role Of Metabolic Adaptation In Weight Regain,NA,COMPLETED,OBSERVATIONAL,27,Pennington Biomedical Research Center,OTHER,Weight Loss|Weight Gain|Obesity,Intensive lifestyle change therapy|Tirzepatide,no,2022-10-06,2024-05-24,tirzepatide,tirzepatide,tirzepatide,no
NCT05564039,A Study of Tirzepatide (LY3298176) in Adult Participants With Type 2 Diabetes Switching From Dulaglutide (SURPASS-SWITCH),PHASE4,COMPLETED,INTERVENTIONAL,282,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,Tirzepatide|Dulaglutide,yes,2022-11-30,2024-07-15,dulaglutide;tirzepatide,dulaglutide,dulaglutide,yes
NCT06847399,Efficacy and Safety of Tirzepatide Versus Placebo or Lisdexamfetamine Dimesylate for Binge-Eating Disorder,PHASE2,RECRUITING,INTERVENTIONAL,105,Johns Hopkins University,OTHER,Obesity and Overweight|Binge Eating Disorder,Tirzepatide|Lisdexamfetamine Dimesylate|Guided self-help cognitive behavioral therapy|Placebo (oral)|Placebo (injection),no,2025-09-17,2027-12-01,tirzepatide,tirzepatide,tirzepatide,no
NCT03131687,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Mellitus,PHASE2,COMPLETED,INTERVENTIONAL,318,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes Mellitus,tirzepatide|Dulaglutide|Placebo,yes,2017-05-24,2018-08-01,dulaglutide;tirzepatide,dulaglutide,dulaglutide,yes
NCT07245771,"Phase 1/2a Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Effect on Body Weight of RN3161 as Monotherapy and in Combination With Tirzepatide in Adults With Overweight and Obesity",PHASE1|PHASE2,RECRUITING,INTERVENTIONAL,104,Ikaria Bioscience Pty Ltd,INDUSTRY,Obesity &Amp; Overweight,RN3161|Placebo Control|Tirzepatide,no,2025-11-04,2027-02-15,tirzepatide,tirzepatide,tirzepatide,no
NCT05912621,Tirzepatide: Reversal of Lipotoxicity and Adipose Tissue Dysfunction in Humans With Overweight/Obesity,PHASE2,RECRUITING,INTERVENTIONAL,66,Stanford University,OTHER,Obesity|Overweight and Obesity|Overweight,Tirzepatide,no,2023-11-09,2028-06,tirzepatide,tirzepatide,tirzepatide,no
NCT06811324,Effects of Tirzepatide on Muscle and Vascular Health in Obese Older Adults,PHASE2,RECRUITING,INTERVENTIONAL,20,The University of Texas Health Science Center at San Antonio,OTHER,Obesity Prevention|Sarcopenia in Elderly|Cardiovascular Function|GLP - 1|Weight Loss,Tirzepatide,no,2026-04-01,2027-04-01,tirzepatide,tirzepatide,tirzepatide,no
NCT04166773,A Study of Tirzepatide (LY3298176) in Participants With Nonalcoholic Steatohepatitis (NASH),PHASE2,COMPLETED,INTERVENTIONAL,190,Eli Lilly and Company,INDUSTRY,Nonalcoholic Steatohepatitis,Tirzepatide|Placebo,yes,2019-11-19,2023-12-11,tirzepatide,tirzepatide,tirzepatide,no
NCT06439277,A Study of Tirzepatide in Adolescents With Obesity and Weight-Related Comorbidities (SURMOUNT-ADOLESCENTS-2),PHASE3,RECRUITING,INTERVENTIONAL,300,Eli Lilly and Company,INDUSTRY,Obesity|Weight Gain,Tirzepatide|Placebo,no,2024-06-03,2027-10,tirzepatide,tirzepatide,tirzepatide,no
NCT03322631,A Study of Tirzepatide (LY3298176) in Japanese Participants With Type 2 Diabetes,PHASE1,COMPLETED,INTERVENTIONAL,48,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes Mellitus,Tirzepatide|Placebo,yes,2017-11-15,2018-05-29,tirzepatide,tirzepatide,tirzepatide,no
NCT07758231,Impact of GLP-1 Receptor Agonist Therapy on Alcohol Pharmacokinetics,PHASE1,NOT_YET_RECRUITING,INTERVENTIONAL,5,"University of Wisconsin, Madison",OTHER,GLP-1|Alcohol,Acute Ethanol Dose,no,2026-10,2027-03,tirzepatide,tirzepatide,tirzepatide,no
NCT05696847,A Study of Tirzepatide (LY3298176) in Pediatric Participants With Obesity,PHASE1,COMPLETED,INTERVENTIONAL,28,Eli Lilly and Company,INDUSTRY,Obesity,Tirzepatide|Placebo,yes,2023-02-07,2025-01-16,tirzepatide,tirzepatide,tirzepatide,no
NCT04844918,A Study of Tirzepatide (LY3298176) in Participants With Obesity Disease,PHASE3,COMPLETED,INTERVENTIONAL,267,Eli Lilly and Company,INDUSTRY,Obesity,Tirzepatide|Placebo,yes,2021-05-10,2023-06-24,tirzepatide,tirzepatide,tirzepatide,no
NCT07700030,High-protein plUs reSistance Training in gLucagon-like pEptide 1 Receptor Agonist Users (HUSTLE),NA,NOT_YET_RECRUITING,INTERVENTIONAL,32,NYU Langone Health,OTHER,Weight Loss,High protein diet|Resistance Training (RT) Programs,no,2026-07,2027-11,tirzepatide,tirzepatide,tirzepatide,no
NCT06485089,"Effects of Tirzepatide on Blood, Imaging and Breast Tissue Biomarkers",NA,COMPLETED,OBSERVATIONAL,25,University of Kansas Medical Center,OTHER,Obesity|Breast Cancer Risk,tirzepatide,no,2024-09-14,2026-03-25,tirzepatide,tirzepatide,tirzepatide,no
NCT06588296,Ixekizumab Concomitantly Administered With Tirzepatide in Adults With Psoriatic Arthritis and Obesity or Overweight,PHASE3,COMPLETED,INTERVENTIONAL,279,Eli Lilly and Company,INDUSTRY,Psoriatic Arthritis|Obesity,Ixekizumab|Tirzepatide,no,2024-09-24,2025-11-18,tirzepatide,tirzepatide,tirzepatide,no
NCT06246799,Comparative Effectiveness of Two Initial Combination Therapies in Patients With Recent Onset Diabetes,PHASE3,RECRUITING,INTERVENTIONAL,256,The University of Texas Health Science Center at San Antonio,OTHER,Type 2 Diabetes (Adult Onset),Tirzepatide|Pioglitazone|Sitagliptin|Metformin HCI XR,no,2024-11-07,2029-04-30,tirzepatide,tirzepatide,tirzepatide,no
NCT07527910,A Phase 2a Study of ALN-PNP With and Without a GLP1R Agonist in Adult Patients With Homozygous PNPLA3-Related MASLD,PHASE2,RECRUITING,INTERVENTIONAL,204,Regeneron Pharmaceuticals,INDUSTRY,Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD),ALN-PNP|Tirzepatide|Placebo,no,2026-05-22,2030-03-15,tirzepatide,tirzepatide,tirzepatide,no
NCT04657003,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Who Have Obesity or Are Overweight,PHASE3,COMPLETED,INTERVENTIONAL,938,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes|Overweight|Obesity,Tirzepatide|Placebo,yes,2021-03-29,2023-03-16,tirzepatide,tirzepatide,tirzepatide,no
NCT07298915,The Effect of Exercise and Tirzepatide on Weight and Health Outcomes (EXER-MED),PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,24,University of Virginia,OTHER,Obesity & Overweight,Tirzepatide|Exercise,no,2026-08,2026-12,tirzepatide,tirzepatide,tirzepatide,no
NCT06326047,A Research Study Comparing How Well Different Doses of the Medicine NN0519-0130 Lower Blood Sugar in People With Type 2 Diabetes,PHASE2,COMPLETED,INTERVENTIONAL,299,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",NNC0519-0130|Placebo|Trizepatide,no,2024-03-18,2025-09-19,NNC0519-0130;tirzepatide,amycretin,NNC0519-0130,yes
NCT07262762,Spartina® (Tirzepatide) Effectiveness and Safety Evaluation,NA,COMPLETED,OBSERVATIONAL,175,Cinnagen,INDUSTRY,Obesity & Overweight,,no,2025-11-11,2026-06-20,tirzepatide,tirzepatide,tirzepatide,no
NCT07387796,Clinical and Neurobehavioral Changes With Weight Loss Drug Discontinuation and Reinitiation,NA,RECRUITING,INTERVENTIONAL,40,The University of Texas at Dallas,OTHER,Drug Discontinuation|Substance Use Disorders|Eating Behavior Changes|Tirzepatide,Discontinuation and Reinitiation of Tirzepatide,no,2026-10,2028-02,tirzepatide,tirzepatide,tirzepatide,no
NCT05963022,A Study of Tirzepatide (LY3298176) in Chinese Participants With Type 2 Diabetes (SURPASS-CN-MONO),PHASE3,COMPLETED,INTERVENTIONAL,206,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,Tirzepatide|Placebo,yes,2023-08-21,2024-10-09,tirzepatide,tirzepatide,tirzepatide,no
NCT04657016,A Study of Tirzepatide (LY3298176) In Participants After A Lifestyle Weight Loss Program,PHASE3,COMPLETED,INTERVENTIONAL,579,Eli Lilly and Company,INDUSTRY,Obesity|Overweight,Tirzepatide|Placebo,yes,2021-03-29,2023-04-20,tirzepatide,tirzepatide,tirzepatide,no
NCT07457437,Function and Lean Mass Preservation With Resistance Exercise During a GLP-1RA Treatment,NA,RECRUITING,INTERVENTIONAL,60,University of Exeter,OTHER,Muscle Mass and Strength|Obesity & Overweight|Physical Function,Progressive Resistance Exercise Training Program|Habitual physical activity guidelines,no,2026-04-01,2027-12-01,tirzepatide,tirzepatide,tirzepatide,no
NCT06143956,A Master Protocol Study (LY900038) of Multiple Intervention-Specific-Appendices (ISAs) in Adult Participants With Obesity or Overweight,PHASE2,RECRUITING,INTERVENTIONAL,1481,Eli Lilly and Company,INDUSTRY,Obesity|Overweight,LY3305677|LY3841136|Tirzepatide|LY3549492|LY3532226|Placebo|Placebo,no,2023-11-17,2027-09,mazdutide;tirzepatide,mazdutide,mazdutide,yes
NCT05536804,A Study of Tirzepatide (LY3298176) in Participants With Overweight or Obesity and Chronic Kidney Disease With or Without Type 2 Diabetes,PHASE2,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,140,Eli Lilly and Company,INDUSTRY,Overweight|Obesity|Chronic Kidney Disease|Type 2 Diabetes|T2D,Tirzepatide|Placebo,no,2023-02-08,2026-09,tirzepatide,tirzepatide,tirzepatide,no
NCT06297616,A Study of LY3841136 in Japanese Participants With Obesity or Overweight,PHASE1,COMPLETED,INTERVENTIONAL,128,Eli Lilly and Company,INDUSTRY,Obesity|Overweight,LY3841136|LY3841136-Placebo|Tirzepatide|Tirzepatide-Placebo,no,2024-04-15,2025-11-21,tirzepatide,tirzepatide,tirzepatide,no
