nct_id,title,phase,status,study_type,enrollment,lead_sponsor,sponsor_class,conditions,interventions,has_results,start_date,primary_completion,matched_term,matched_generic,attributed_term,ambiguous
NCT06449625,Semaglutide in Auto-HSCT,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,40,Klaus Gottlob Müller,OTHER,Intestinal Mucositis|Inflammation|Chemotherapeutic Toxicity,Semaglutide Pen Injector [Ozempic]|Placebo,no,2024-08-12,2026-12-31,semaglutide,semaglutide,semaglutide,no
NCT05316662,"A Research Study Looking at How Oral Semaglutide Works in People With Type 2 Diabetes in Mexico, as Part of Local Clinical Practice",NA,COMPLETED,OBSERVATIONAL,187,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Semaglutide,no,2022-04-06,2024-04-06,semaglutide,semaglutide,semaglutide,no
NCT05812183,Gastric Sleeve-Induced Weight Loss on Shortness of Breath in Obesity,PHASE4,WITHDRAWN,INTERVENTIONAL,0,"University of California, Los Angeles",OTHER,Dyspnea|Quality of Life,Bariatric surgery|Medical weight loss,no,2023-07-09,2025-02-12,tirzepatide;liraglutide;semaglutide,tirzepatide,tirzepatide,yes
NCT01324505,Effect of Oral Contraceptives After Administration of Semaglutide in Subjects With Type 2 Diabetes,PHASE1,COMPLETED,INTERVENTIONAL,43,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|placebo|Microgyn®,no,2011-03,2012-01,semaglutide,semaglutide,semaglutide,no
NCT06118203,Semaglutide Use in Acute Pulmonary Embolism,NA,COMPLETED,OBSERVATIONAL,18,Imperial College London,OTHER,Pulmonary Embolism,Semaglutide,no,2022-01-02,2023-03-04,semaglutide,semaglutide,semaglutide,no
NCT05394519,A Research Study to See How Well CagriSema Helps People With Type 2 Diabetes and Excess Body Weight Lose Weight,PHASE3,COMPLETED,INTERVENTIONAL,1200,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity|Type 2 Diabetes Mellitus,Cagrilintide|Semaglutide|Placebo cagrilintide|Placebo semaglutide,no,2023-02-01,2025-01-28,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT06946628,New Triple Therapy in Newly Diagnosed Type 2 Diabetes,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,296,Sun Yat-sen University,OTHER,Diabetes Mellitus,Group A (triple combination therapy group)|Group B (standard therapy group),no,2025-06-01,2028-12-31,semaglutide,semaglutide,semaglutide,no
NCT07357766,A Research Study to Compare Different Versions of Injectable CagriSema and Placebo in People With Excess Body Weight,PHASE3,WITHDRAWN,INTERVENTIONAL,0,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity,Cagrisema|Placebo CagriSema,no,2026-06-22,2027-11-29,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT05567796,A Research Study to See How Well CagriSema Helps People With Excess Body Weight Lose Weight,PHASE3,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,3400,Novo Nordisk A/S,INDUSTRY,Obesity,Cagrilintide|Semaglutide|Placebo cagrilintide|Placebo semaglutide,no,2022-11-01,2024-10-30,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT07485062,Exercise and Diabetes Interventions to Improve Brain Health in Older Adults With Type 2 Diabetes,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,164,"Western University, Canada",OTHER,Type 2 Diabetes|Cognitive Decline in Older Adults,semaglutide|Moderate-Intensity Resistance Exercise|Balance and Tone (BAT) Exercise,no,2026-09-01,2029-05-01,semaglutide,semaglutide,semaglutide,no
NCT07187856,Phase 2 Randomized Study of PG-102 vs Placebo and Semaglutide in Type 2 Diabetes Mellitus,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,80,"ProGen. Co., Ltd.",OTHER,Type 2 Diabetes Mellitus (T2DM),PG-102|Placebo|Semaglutide,no,2026-01,2026-09,semaglutide,semaglutide,semaglutide,no
NCT04601753,"A Research Study Looking at How Oral Semaglutide Works in People With Type 2 Diabetes in Sweden, as Part of Local Clinical Practice",NA,COMPLETED,OBSERVATIONAL,194,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Oral Semaglutide,no,2020-11-12,2023-03-03,semaglutide,semaglutide,semaglutide,no
NCT07046273,Phase III Clinical Study on the Efficacy and Safety of Semaglutide and Ozempic® in Patients With Type 2 Diabetes,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,496,"Shandong New Time Pharmaceutical Co., LTD",INDUSTRY,Type 2 Diabetes (T2DM),F027|Ozempic®,no,2025-08-01,2028-08-01,semaglutide,semaglutide,semaglutide,no
NCT06716216,A Study of BGM0504 in Participants with Type 2 Diabetes,PHASE3,RECRUITING,INTERVENTIONAL,537,"BrightGene Bio-Medical Technology Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus (T2DM),Drug: 5 mg BGM0504 Administered SC|Drug:10 mg BGM0504 Administered SC|Drug: Semaglutide Administered SC,no,2024-11-29,2026-03-20,semaglutide,semaglutide,semaglutide,no
NCT04878406,A Research Study of How the Medicine NNC0480-0389 Taken With Semaglutide Works in the Body of Healthy Japanese Men,PHASE1,COMPLETED,INTERVENTIONAL,24,Novo Nordisk A/S,INDUSTRY,Healthy Volunteers Type 2 Diabetes,NNC0480-0389|Placebo (NNC0480-0389)|Semaglutide|Placebo (Semaglutide),no,2021-05-18,2021-07-20,semaglutide,semaglutide,semaglutide,no
NCT04524832,"Research Study Comparing New Tablets of Semaglutide in New Doses, in Healthy People",PHASE1,COMPLETED,INTERVENTIONAL,290,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Oral semaglutide,no,2020-09-29,2022-02-25,semaglutide,semaglutide,semaglutide,no
NCT06003153,GLUCOSE-MGH: Genetic Links Understood Through Challenge With Oral Semaglutide Exposure at MGH,PHASE4,RECRUITING,INTERVENTIONAL,125,Massachusetts General Hospital,OTHER,Genetic Predisposition|Metabolic Diseases|Type 2 Diabetes,oral semaglutide|Mixed Meal Tolerance Test (MMTT),no,2024-03-12,2027-05-31,semaglutide,semaglutide,semaglutide,no
NCT07711548,Can Two Dietary Interventions Maintain Weight Loss for 12 Months After GLP-1 Therapy in Adults With Overweight/Obesity?,NA,NOT_YET_RECRUITING,INTERVENTIONAL,292,Knut Mai,OTHER,Obesity & Overweight|Weight Loss Maintenance,NutriAct plus|Rescue VLCD,no,2027-03,2030-02,semaglutide,semaglutide,semaglutide,no
